year,mean_sea_level
1992-12-01,19.18
1992-12-01,-8.72
1993-01-01,-17.12
1993-01-01,-43.92
1993-01-01,-61.62
1993-02-01,-82.82
1993-02-01,-64.22
1993-02-01,-58.02
1993-03-01,-43.62
1993-03-01,-54.22
1993-03-01,-45.22
1993-04-01,-47.72
1993-04-01,-37.92
1993-05-01,-40.02
1993-05-01,-38.42
1993-05-01,-51.22
1993-06-01,-50.42
1993-06-01,-36.52
1993-06-01,-20.92
1993-07-01,-15.92
1993-07-01,-2.42
1993-08-01,16.18
1993-08-01,26.98
1993-08-01,47.68
1993-08-01,42.38
1993-09-01,26.58
1993-09-01,23.58
1993-09-01,44.98
1993-10-01,41.98
1993-10-01,45.38
1993-11-01,23.48
1993-11-01,17.38
1993-11-01,2.88
1993-12-01,13.08
1993-12-01,13.58
1993-12-01,2.38
1994-01-01,-16.02
1994-01-01,-29.02
1994-01-01,-38.72
1994-02-01,-49.02
1994-02-01,-38.52
1994-02-01,-45.42
1994-03-01,-48.22
1994-03-01,-65.72
1994-04-01,-45.42
1994-04-01,-42.92
1994-04-01,-42.72
1994-05-01,-49.62
1994-05-01,-49.22
1994-05-01,-49.42
1994-06-01,-37.82
1994-06-01,-24.82
1994-07-01,-18.52
1994-07-01,8.78
1994-07-01,8.78
1994-08-01,9.68
1994-08-01,32.08
1994-08-01,57.38
1994-09-01,61.78
1994-09-01,73.98
1994-09-01,71.58
1994-10-01,42.88
1994-10-01,54.08
1994-10-01,55.88
1994-10-01,61.68
1994-11-01,38.08
1994-11-01,12.88
1994-12-01,20.88
1994-12-01,18.58
1994-12-01,-11.02
1995-01-01,-50.32
1995-01-01,-38.12
1995-01-01,-47.12
1995-02-01,-39.62
1995-02-01,-40.12
1995-02-01,-64.22
1995-03-01,-70.62
1995-03-01,-56.62
1995-04-01,-52.92
1995-04-01,-36.12
1995-04-01,-37.32
1995-05-01,-45.12
1995-05-01,-35.92
1995-06-01,-36.62
1995-06-01,-23.62
1995-06-01,-26.52
1995-07-01,-16.72
1995-07-01,-5.12
1995-08-01,-2.92
1995-08-01,15.38
1995-08-01,19.88
1995-09-01,30.98
1995-09-01,48.98
1995-09-01,54.48
1995-10-01,55.18
1995-10-01,61.38
1995-11-01,27.18
1995-11-01,20.68
1995-11-01,33.08
1995-12-01,2.38
1995-12-01,-13.92
1995-12-01,-32.32
1996-01-01,-44.02
1996-01-01,-28.22
1996-01-01,-44.02
1996-02-01,-63.42
1996-02-01,-66.02
1996-03-01,-74.02
1996-03-01,-55.22
1996-03-01,-67.12
1996-04-01,-61.42
1996-04-01,-45.22
1996-04-01,-37.12
1996-05-01,-43.62
1996-05-01,-47.32
1996-05-01,-36.02
1996-06-01,-20.82
1996-06-01,-23.22
1996-07-01,-15.22
1996-07-01,1.18
1996-07-01,14.98
1996-08-01,23.88
1996-08-01,23.88
1996-08-01,29.08
1996-09-01,37.48
1996-09-01,52.78
1996-09-01,60.78
1996-10-01,52.78
1996-10-01,54.18
1996-11-01,56.58
1996-11-01,43.98
1996-11-01,15.98
1996-12-01,17.08
1996-12-01,-4.22
1996-12-01,-14.82
1997-01-01,-16.62
1997-01-01,-23.72
1997-01-01,-48.62
1997-02-01,-50.32
1997-02-01,-43.02
1997-03-01,-20.82
1997-03-01,-50.22
1997-03-01,-61.82
1997-04-01,-54.32
1997-04-01,-56.92
1997-04-01,-58.72
1997-05-01,-34.12
1997-05-01,-26.42
1997-05-01,-36.22
1997-05-01,-28.12
1997-06-01,-43.62
1997-06-01,-21.22
1997-07-01,-0.52
1997-07-01,25.28
1997-07-01,28.88
1997-08-01,44.28
1997-08-01,38.88
1997-09-01,55.28
1997-09-01,70.68
1997-09-01,72.08
1997-10-01,43.18
1997-10-01,35.78
1997-11-01,32.08
1997-11-01,9.68
1997-11-01,15.18
1997-12-01,17.18
1997-12-01,-2.82
1997-12-01,-6.32
1998-01-01,-16.92
1998-01-01,-19.02
1998-02-01,-72.82
1998-02-01,-65.02
1998-02-01,-42.02
1998-03-01,-53.82
1998-03-01,-61.32
1998-03-01,-66.62
1998-04-01,-63.42
1998-04-01,-70.52
1998-04-01,-45.72
1998-05-01,-42.12
1998-05-01,-49.02
1998-06-01,-41.32
1998-06-01,-29.92
1998-06-01,-18.22
1998-07-01,-15.62
1998-07-01,-10.32
1998-07-01,5.78
1998-08-01,28.78
1998-08-01,27.58
1998-08-01,40.28
1998-09-01,36.48
1998-09-01,33.28
1998-09-01,43.18
1998-10-01,45.88
1998-10-01,31.98
1998-11-01,30.48
1998-11-01,30.48
1998-11-01,22.48
1998-12-01,25.38
1998-12-01,-5.02
1998-12-01,-10.02
1999-01-01,-22.22
1999-01-01,-28.22
1999-02-01,-37.62
1999-02-01,-39.02
1999-02-01,-42.22
1999-03-01,-49.32
1999-03-01,-33.72
1999-03-01,-13.12
1999-04-01,-22.92
1999-04-01,-34.82
1999-05-01,-36.62
1999-05-01,-35.62
1999-05-01,-34.52
1999-06-01,-26.42
1999-06-01,-18.32
1999-06-01,-5.32
1999-07-01,7.58
1999-07-01,-0.22
1999-07-01,15.98
1999-08-01,29.58
1999-08-01,46.88
1999-08-01,52.28
1999-09-01,45.38
1999-09-01,57.38
1999-09-01,61.68
1999-10-01,68.48
1999-10-01,67.18
1999-10-01,62.48
1999-11-01,52.88
1999-11-01,44.08
1999-11-01,42.28
1999-12-01,23.18
1999-12-01,12.48
2000-01-01,14.18
2000-01-01,-8.32
2000-01-01,-19.22
2000-02-01,-43.82
2000-02-01,-41.02
2000-02-01,-43.32
2000-03-01,-40.22
2000-03-01,-37.22
2000-03-01,-38.72
2000-04-01,-45.92
2000-04-01,-50.12
2000-05-01,-48.22
2000-05-01,-46.02
2000-05-01,-42.32
2000-06-01,-40.62
2000-06-01,-12.52
2000-06-01,-8.72
2000-07-01,0.58
2000-07-01,17.88
2000-08-01,35.48
2000-08-01,42.78
2000-08-01,57.58
2000-09-01,56.98
2000-09-01,52.38
2000-09-01,57.08
2000-10-01,57.88
2000-10-01,55.98
2000-10-01,51.68
2000-11-01,48.88
2000-11-01,37.78
2000-11-01,39.78
2000-12-01,26.08
2000-12-01,17.28
2000-12-01,2.38
2001-01-01,-19.72
2001-01-01,-32.12
2001-02-01,-22.32
2001-02-01,-36.82
2001-02-01,-46.22
2001-03-01,-50.72
2001-03-01,-56.42
2001-03-01,-44.32
2001-04-01,-31.12
2001-04-01,-51.42
2001-04-01,-43.52
2001-05-01,-39.22
2001-05-01,-31.32
2001-05-01,-35.42
2001-06-01,-28.42
2001-06-01,-21.72
2001-06-01,3.08
2001-07-01,10.08
2001-07-01,27.98
2001-07-01,27.98
2001-08-01,42.88
2001-08-01,43.78
2001-08-01,50.08
2001-09-01,56.18
2001-09-01,71.58
