#title = mean sea level anomaly North Pacific (Annual signals retained)
#institution = NOAA/Laboratory for Satellite Altimetry
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/)
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.'
#trend = 2.90 mm/year (no glacial isostatic adjustment correction)
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9611,19.18000,,,
1992.9865,-8.72000,,,
1993.0126,-17.12000,,,
1993.0408,-43.92000,,,
1993.0659,-61.62000,,,
1993.0973,-82.82000,,,
1993.1212,-64.22000,,,
1993.1496,-58.02000,,,
1993.1768,-43.62000,,,
1993.2040,-54.22000,,,
1993.2308,-45.22000,,,
1993.2852,-47.72000,,,
1993.3125,-37.92000,,,
1993.3395,-40.02000,,,
1993.3667,-38.42000,,,
1993.3938,-51.22000,,,
1993.4209,-50.42000,,,
1993.4480,-36.52000,,,
1993.4753,-20.92000,,,
1993.5020,-15.92000,,,
1993.5295,-2.42000,,,
1993.5836,16.18000,,,
1993.6119,26.98000,,,
1993.6381,47.68000,,,
1993.6653,42.38000,,,
1993.6925,26.58000,,,
1993.7193,23.58000,,,
1993.7468,44.98000,,,
1993.7740,41.98000,,,
1993.8010,45.38000,,,
1993.8553,23.48000,,,
1993.8826,17.38000,,,
1993.9099,2.88000,,,
1993.9366,13.08000,,,
1993.9638,13.58000,,,
1993.9906,2.38000,,,
1994.0180,-16.02000,,,
1994.0455,-29.02000,,,
1994.0722,-38.72000,,,
1994.0997,-49.02000,,,
1994.1268,-38.52000,,,
1994.1542,-45.42000,,,
1994.1808,-48.22000,,,
1994.2354,-65.72000,,,
1994.2626,-45.42000,,,
1994.2898,-42.92000,,,
1994.3169,-42.72000,,,
1994.3440,-49.62000,,,
1994.3712,-49.22000,,,
1994.3981,-49.42000,,,
1994.4253,-37.82000,,,
1994.4525,-24.82000,,,
1994.5067,-18.52000,,,
1994.5340,8.78000,,,
1994.5611,8.78000,,,
1994.5882,9.68000,,,
1994.6155,32.08000,,,
1994.6426,57.38000,,,
1994.6697,61.78000,,,
1994.6968,73.98000,,,
1994.7240,71.58000,,,
1994.7511,42.88000,,,
1994.7783,54.08000,,,
1994.8055,55.88000,,,
1994.8325,61.68000,,,
1994.8869,38.08000,,,
1994.9141,12.88000,,,
1994.9412,20.88000,,,
1994.9686,18.58000,,,
1994.9954,-11.02000,,,
1995.0227,-50.32000,,,
1995.0497,-38.12000,,,
1995.0770,-47.12000,,,
1995.1041,-39.62000,,,
1995.1314,-40.12000,,,
1995.1585,-64.22000,,,
1995.2128,-70.62000,,,
1995.2399,-56.62000,,,
1995.2671,-52.92000,,,
1995.2943,-36.12000,,,
1995.3214,-37.32000,,,
1995.3756,-45.12000,,,
1995.4029,-35.92000,,,
1995.4300,-36.62000,,,
1995.4570,-23.62000,,,
1995.4843,-26.52000,,,
1995.5384,-16.72000,,,
1995.5657,-5.12000,,,
1995.5929,-2.92000,,,
1995.6200,15.38000,,,
1995.6470,19.88000,,,
1995.6742,30.98000,,,
1995.7013,48.98000,,,
1995.7289,54.48000,,,
1995.7556,55.18000,,,
1995.7829,61.38000,,,
1995.8373,27.18000,,,
1995.8645,20.68000,,,
1995.8899,33.08000,,,
1995.9457,2.38000,,,
1995.9726,-13.92000,,,
1995.9996,-32.32000,,,
1996.0268,-44.02000,,,
1996.0535,-28.22000,,,
1996.0813,-44.02000,,,
1996.1088,-63.42000,,,
1996.1634,-66.02000,,,
1996.1898,-74.02000,,,
1996.2172,-55.22000,,,
1996.2443,-67.12000,,,
1996.2716,-61.42000,,,
1996.2986,-45.22000,,,
1996.3258,-37.12000,,,
1996.3530,-43.62000,,,
1996.3800,-47.32000,,,
1996.4072,-36.02000,,,
1996.4344,-20.82000,,,
1996.4888,-23.22000,,,
1996.5158,-15.22000,,,
1996.5430,1.18000,,,
1996.5702,14.98000,,,
1996.5973,23.88000,,,
1996.6247,23.88000,,,
1996.6515,29.08000,,,
1996.6787,37.48000,,,
1996.7051,52.78000,,,
1996.7338,60.78000,,,
1996.7603,52.78000,,,
1996.8143,54.18000,,,
1996.8416,56.58000,,,
1996.8690,43.98000,,,
1996.8960,15.98000,,,
1996.9229,17.08000,,,
1996.9500,-4.22000,,,
1996.9770,-14.82000,,,
1997.0046,-16.62000,,,
1997.0317,-23.72000,,,
1997.0587,-48.62000,,,
1997.0858,-50.32000,,,
1997.1401,-43.02000,,,
1997.1675,-20.82000,,,
1997.1945,-50.22000,,,
1997.2216,-61.82000,,,
1997.2490,-54.32000,,,
1997.2761,-56.92000,,,
1997.3032,-58.72000,,,
1997.3304,-34.12000,,,
1997.3573,-26.42000,,,
1997.3845,-36.22000,,,
1997.4117,-28.12000,,,
1997.4660,-43.62000,,,
1997.4927,-21.22000,,,
1997.5204,-0.52000,,,
1997.5475,25.28000,,,
1997.5746,28.88000,,,
1997.6288,44.28000,,,
1997.6561,38.88000,,,
1997.6833,55.28000,,,
1997.7101,70.68000,,,
1997.7375,72.08000,,,
1997.7918,43.18000,,,
1997.8189,35.78000,,,
1997.8460,32.08000,,,
1997.8731,9.68000,,,
1997.9002,15.18000,,,
1997.9276,17.18000,,,
1997.9545,-2.82000,,,
1997.9819,-6.32000,,,
1998.0079,-16.92000,,,
1998.0360,-19.02000,,,
1998.0907,-72.82000,,,
1998.1176,-65.02000,,,
1998.1447,-42.02000,,,
1998.1719,-53.82000,,,
1998.1992,-61.32000,,,
1998.2263,-66.62000,,,
1998.2533,-63.42000,,,
1998.2792,-70.52000,,,
1998.3077,-45.72000,,,
1998.3349,-42.12000,,,
1998.3617,-49.02000,,,
1998.4158,-41.32000,,,
1998.4433,-29.92000,,,
1998.4707,-18.22000,,,
1998.4978,-15.62000,,,
1998.5248,-10.32000,,,
1998.5520,5.78000,,,
1998.6064,28.78000,,,
1998.6334,27.58000,,,
1998.6604,40.28000,,,
1998.6878,36.48000,,,
1998.7148,33.28000,,,
1998.7418,43.18000,,,
1998.7690,45.88000,,,
1998.8236,31.98000,,,
1998.8506,30.48000,,,
1998.8776,30.48000,,,
1998.9044,22.48000,,,
1998.9320,25.38000,,,
1998.9594,-5.02000,,,
1998.9861,-10.02000,,,
1999.0132,-22.22000,,,
1999.0405,-28.22000,,,
1999.0949,-37.62000,,,
1999.1256,-39.02000,,,
1999.1491,-42.22000,,,
1999.1764,-49.32000,,,
1999.2034,-33.72000,,,
1999.2311,-13.12000,,,
1999.2578,-22.92000,,,
1999.2850,-34.82000,,,
1999.3393,-36.62000,,,
1999.3666,-35.62000,,,
1999.3934,-34.52000,,,
1999.4207,-26.42000,,,
1999.4477,-18.32000,,,
1999.4749,-5.32000,,,
1999.5022,7.58000,,,
1999.5292,-0.22000,,,
1999.5567,15.98000,,,
1999.5835,29.58000,,,
1999.6107,46.88000,,,
1999.6379,52.28000,,,
1999.6922,45.38000,,,
1999.7192,57.38000,,,
1999.7464,61.68000,,,
1999.7735,68.48000,,,
1999.8008,67.18000,,,
1999.8279,62.48000,,,
1999.8549,52.88000,,,
1999.8824,44.08000,,,
1999.9088,42.28000,,,
1999.9636,23.18000,,,
1999.9911,12.48000,,,
2000.0179,14.18000,,,
2000.0450,-8.32000,,,
2000.0721,-19.22000,,,
2000.0992,-43.82000,,,
2000.1267,-41.02000,,,
2000.1535,-43.32000,,,
2000.1810,-40.22000,,,
2000.2079,-37.22000,,,
2000.2353,-38.72000,,,
2000.2895,-45.92000,,,
2000.3166,-50.12000,,,
2000.3436,-48.22000,,,
2000.3708,-46.02000,,,
2000.3981,-42.32000,,,
2000.4251,-40.62000,,,
2000.4524,-12.52000,,,
2000.4795,-8.72000,,,
2000.5066,0.58000,,,
2000.5337,17.88000,,,
2000.5882,35.48000,,,
2000.6151,42.78000,,,
2000.6424,57.58000,,,
2000.6696,56.98000,,,
2000.6965,52.38000,,,
2000.7235,57.08000,,,
2000.7508,57.88000,,,
2000.7781,55.98000,,,
2000.8054,51.68000,,,
2000.8595,48.88000,,,
2000.8860,37.78000,,,
2000.9142,39.78000,,,
2000.9408,26.08000,,,
2000.9681,17.28000,,,
2000.9951,2.38000,,,
2001.0221,-19.72000,,,
2001.0768,-32.12000,,,
2001.1041,-22.32000,,,
2001.1309,-36.82000,,,
2001.1581,-46.22000,,,
2001.1852,-50.72000,,,
2001.2126,-56.42000,,,
2001.2398,-44.32000,,,
2001.2667,-31.12000,,,
2001.2938,-51.42000,,,
2001.3212,-43.52000,,,
2001.3482,-39.22000,,,
2001.3754,-31.32000,,,
2001.4027,-35.42000,,,
2001.4296,-28.42000,,,
2001.4568,-21.72000,,,
2001.4841,3.08000,,,
2001.5111,10.08000,,,
2001.5381,27.98000,,,
2001.5653,27.98000,,,
2001.5924,42.88000,,,
2001.6196,43.78000,,,
2001.6469,50.08000,,,
2001.6738,56.18000,,,
2001.7011,71.58000,,,
2001.7284,68.98000,,,
2001.7555,57.68000,,,
2001.7825,62.08000,,,
2001.8096,62.48000,,,
2001.8370,51.68000,,,
2001.8640,36.78000,,,
2001.8921,34.58000,,,
2001.9182,43.58000,,,
2001.9455,38.08000,,,
2001.9720,0.08000,,,
2001.9996,-24.02000,,,
2002.0274,-33.92000,,,
2002.0535,,-17.11000,,
2002.0541,-15.32000,,,
2002.0812,-18.82000,,,
2002.0817,,-19.41000,,
2002.1083,,-30.01000,,
2002.1085,-26.82000,,,
2002.1352,,-33.01000,,
2002.1356,-37.32000,,,
2002.1627,-47.32000,-48.61000,,
2002.1899,-47.12000,-59.91000,,
